mod	type	desc	unit	tag
sda_rqm	disk	磁盘A每秒合并读请求数	req/s	disk_rqm_per_sec
sdb_rqm	disk	磁盘B每秒合并读请求数	req/s	disk_rqm_per_sec
sdc_rqm	disk	磁盘C每秒合并读请求数	req/s	disk_rqm_per_sec
sdd_rqm	disk	磁盘D每秒合并读请求数	req/s	disk_rqm_per_sec
sde_rqm	disk	磁盘E每秒合并读请求数	req/s	disk_rqm_per_sec
sda_read	disk	磁盘A每秒读取扇区数	sectors/s	disk_rw_sectors
sdb_read	disk	磁盘B每秒读取扇区数	sectors/s	disk_rw_sectors
sdc_read	disk	磁盘C每秒读取扇区数	sectors/s	disk_rw_sectors
sdd_read	disk	磁盘D每秒读取扇区数	sectors/s	disk_rw_sectors
sde_read	disk	磁盘E每秒读取扇区数	sectors/s	disk_rw_sectors
sda_write	disk	磁盘A每秒写入扇区数	sectors/s	disk_rw_sectors
sdb_write	disk	磁盘B每秒写入扇区数	sectors/s	disk_rw_sectors
sdc_write	disk	磁盘C每秒写入扇区数	sectors/s	disk_rw_sectors
sdd_write	disk	磁盘D每秒写入扇区数	sectors/s	disk_rw_sectors
sde_write	disk	磁盘E每秒写入扇区数	sectors/s	disk_rw_sectors
sda_avgrq	disk	磁盘A平均请求扇区大小	sectors	disk_other_metric
sdb_avgrq	disk	磁盘B平均请求扇区大小	sectors	disk_other_metric
sdc_avgrq	disk	磁盘C平均请求扇区大小	sectors	disk_other_metric
sdd_avgrq	disk	磁盘D平均请求扇区大小	sectors	disk_other_metric
sde_avgrq	disk	磁盘E平均请求扇区大小	sectors	disk_other_metric
sda_await	disk	磁盘A平均I/O等待时间	ms	disk_latency_ms
sdb_await	disk	磁盘B平均I/O等待时间	ms	disk_latency_ms
sdc_await	disk	磁盘C平均I/O等待时间	ms	disk_latency_ms
sdd_await	disk	磁盘D平均I/O等待时间	ms	disk_latency_ms
sde_await	disk	磁盘E平均I/O等待时间	ms	disk_latency_ms
sda_util	disk	磁盘A使用率	%	disk_util_percent
sdb_util	disk	磁盘B使用率	%	disk_util_percent
sdc_util	disk	磁盘C使用率	%	disk_util_percent
sdd_util	disk	磁盘D使用率	%	disk_util_percent
sde_util	disk	磁盘E使用率	%	disk_util_percent
sda_svctm	disk	磁盘A平均服务时间	ms	disk_latency_ms
sdb_svctm	disk	磁盘B平均服务时间	ms	disk_latency_ms
sdc_svctm	disk	磁盘C平均服务时间	ms	disk_latency_ms
sdd_svctm	disk	磁盘D平均服务时间	ms	disk_latency_ms
sde_svctm	disk	磁盘E平均服务时间	ms	disk_latency_ms
cpu_user	pref	用户态CPU使用率	%	cpu_percent
cpu_sys	pref	系统态CPU使用率	%	cpu_percent
cpu_wait	pref	IO等待CPU使用率	%	cpu_percent
cpu_idle	pref	CPU空闲率	%	cpu_percent
cpu_usage	pref	CPU综合使用率	%	cpu_percent
mem_used	pref	已使用内存	MB	mem_metric
mem_free	pref	空闲内存	MB	mem_metric
mem_buff	pref	缓冲区内存	MB	mem_metric
mem_cache	pref	缓存内存	MB	mem_metric
mem_swap	pref	交换区使用	MB	mem_metric
net_in	pref	网络入站带宽	MB/s	net_speed_mb
net_out	pref	网络出站带宽	MB/s	net_speed_mb
net_pktin	pref	每秒入站数据包数	pkt/s	net_packets
net_pktout	pref	每秒出站数据包数	pkt/s	net_packets
load1	pref	1分钟平均负载		load_average
load5	pref	5分钟平均负载		load_average
load15	pref	15分钟平均负载		load_average
proc_run	pref	运行中进程数	个	proc_count
proc_block	pref	阻塞进程数	个	proc_count
proc_total	pref	总进程数	个	proc_count
