ts	hostid	type	mod	value	tag
1782835200000	host001	pref	cpu_user	21.70	cpu_percent
1782835200000	host001	pref	cpu_sys	11.98	cpu_percent
1782835200000	host001	pref	cpu_wait	29.69	cpu_percent
1782835200000	host001	pref	cpu_idle	68.84	cpu_percent
1782835200000	host001	pref	cpu_usage	43.87	cpu_percent
1782835200000	host001	pref	mem_used	90559	mem_metric
1782835200000	host001	pref	mem_free	91864	mem_metric
1782835200000	host001	pref	mem_buff	73069	mem_metric
1782835200000	host001	pref	mem_cache	63200	mem_metric
1782835200000	host001	pref	mem_swap	59171	mem_metric
1782835200000	host001	pref	net_in	824.81	net_speed_mb
1782835200000	host001	pref	net_out	302.42	net_speed_mb
1782835200000	host001	pref	net_pktin	79873	net_packets
1782835200000	host001	pref	net_pktout	74249	net_packets
1782835200000	host001	pref	load1	5.41	load_average
1782835200000	host001	pref	load5	12.43	load_average
1782835200000	host001	pref	load15	14.27	load_average
1782835200000	host001	pref	proc_run	45	proc_count
1782835200000	host001	pref	proc_block	156	proc_count
1782835200000	host001	pref	proc_total	477	proc_count
1782838800000	host001	pref	cpu_user	47.49	cpu_percent
1782838800000	host001	pref	cpu_sys	19.20	cpu_percent
1782838800000	host001	pref	cpu_wait	30.49	cpu_percent
1782838800000	host001	pref	cpu_idle	93.71	cpu_percent
1782838800000	host001	pref	cpu_usage	47.68	cpu_percent
1782838800000	host001	pref	mem_used	93185	mem_metric
1782838800000	host001	pref	mem_free	44927	mem_metric
1782838800000	host001	pref	mem_buff	33703	mem_metric
1782838800000	host001	pref	mem_cache	13063	mem_metric
1782838800000	host001	pref	mem_swap	107241	mem_metric
1782838800000	host001	pref	net_in	327.10	net_speed_mb
1782838800000	host001	pref	net_out	808.11	net_speed_mb
1782838800000	host001	pref	net_pktin	52871	net_packets
1782838800000	host001	pref	net_pktout	40757	net_packets
1782838800000	host001	pref	load1	20.92	load_average
1782838800000	host001	pref	load5	6.28	load_average
1782838800000	host001	pref	load15	8.94	load_average
1782838800000	host001	pref	proc_run	482	proc_count
1782838800000	host001	pref	proc_block	78	proc_count
1782838800000	host001	pref	proc_total	320	proc_count
1782842400000	host001	pref	cpu_user	18.94	cpu_percent
1782842400000	host001	pref	cpu_sys	39.70	cpu_percent
1782842400000	host001	pref	cpu_wait	37.95	cpu_percent
1782842400000	host001	pref	cpu_idle	83.52	cpu_percent
1782842400000	host001	pref	cpu_usage	75.41	cpu_percent
1782842400000	host001	pref	mem_used	106563	mem_metric
1782842400000	host001	pref	mem_free	50180	mem_metric
1782842400000	host001	pref	mem_buff	36186	mem_metric
1782842400000	host001	pref	mem_cache	101382	mem_metric
1782842400000	host001	pref	mem_swap	126217	mem_metric
1782842400000	host001	pref	net_in	589.19	net_speed_mb
1782842400000	host001	pref	net_out	390.53	net_speed_mb
